[s],CH2[V]
-4.0807E-02,2.8037420548E-02
-4.0801E-02,2.7574363994E-02
-4.0796E-02,2.6665798493E-02
-4.0791E-02,2.6539951633E-02
-4.0786E-02,2.8708349488E-02
-4.0781E-02,2.7873884480E-02
-4.0776E-02,2.6037079177E-02
-4.0771E-02,2.6151501019E-02
-4.0766E-02,2.7252737338E-02
-4.0761E-02,2.7139059362E-02
-4.0755E-02,2.6789690321E-02
-4.0750E-02,2.7289425188E-02
-4.0745E-02,2.7224842365E-02
-4.0740E-02,2.5984779679E-02
-4.0735E-02,2.6810938184E-02
-4.0730E-02,2.6374441459E-02
-4.0725E-02,2.8001447953E-02
-4.0720E-02,2.5744139044E-02
-4.0714E-02,2.7452780058E-02
-4.0709E-02,2.7546411800E-02
-4.0704E-02,2.6513153385E-02
-4.0699E-02,2.7858368199E-02
-4.0694E-02,2.5938068712E-02
-4.0689E-02,2.7366739563E-02
-4.0684E-02,2.7361313156E-02
-4.0679E-02,2.7542330074E-02
-4.0673E-02,2.7842909139E-02
-4.0668E-02,2.6664587326E-02
-4.0663E-02,2.7557674694E-02
-4.0658E-02,2.9281259784E-02
-4.0653E-02,2.7522150326E-02
-4.0648E-02,2.6832510296E-02
-4.0643E-02,2.7333685212E-02
-4.0638E-02,2.7348266892E-02
-4.0633E-02,2.7315508180E-02
-4.0627E-02,2.6519886326E-02
-4.0622E-02,2.6026626907E-02
-4.0617E-02,2.7990022935E-02
-4.0612E-02,2.7883554737E-02
-4.0607E-02,2.5819526997E-02
-4.0602E-02,2.8388153343E-02
-4.0597E-02,2.6859623257E-02
-4.0592E-02,2.7379909805E-02
-4.0586E-02,2.7550169277E-02
-4.0581E-02,2.7327057176E-02
-4.0576E-02,2.5720039694E-02
-4.0571E-02,2.6924740137E-02
-4.0566E-02,2.7616125391E-02
-4.0561E-02,2.7614761637E-02
-4.0556E-02,2.8070207870E-02
-4.0551E-02,2.8146187101E-02
-4.0545E-02,2.7814794820E-02
-4.0540E-02,2.7288395220E-02
-4.0535E-02,2.8540035511E-02
-4.0530E-02,2.6379619910E-02
-4.0525E-02,2.6460558248E-02
-4.0520E-02,2.8027998246E-02
-4.0515E-02,2.7999407090E-02
-4.0510E-02,2.7699981972E-02
-4.0505E-02,2.7509619046E-02
-4.0499E-02,2.8689266465E-02
-4.0494E-02,2.6527620624E-02
-4.0489E-02,2.6750665968E-02
-4.0484E-02,2.7845379155E-02
-4.0479E-02,2.7863289158E-02
-4.0474E-02,2.8398805885E-02
-4.0469E-02,2.7971302309E-02
-4.0464E-02,2.8699613831E-02
-4.0458E-02,2.9220672856E-02
-4.0453E-02,2.7417980483E-02
-4.0448E-02,2.6865240398E-02
-4.0443E-02,2.6803242032E-02
-4.0438E-02,2.7743965430E-02
-4.0433E-02,2.8933979289E-02
-4.0428E-02,2.8534446980E-02
-4.0423E-02,2.8204695019E-02
-4.0418E-02,2.8362756997E-02
-4.0412E-02,2.8326603204E-02
-4.0407E-02,2.7150055226E-02
-4.0402E-02,2.9945598835E-02
-4.0397E-02,2.6731382674E-02
-4.0392E-02,2.7998396196E-02
-4.0387E-02,2.8527809407E-02
-4.0382E-02,3.0252186047E-02
-4.0377E-02,2.8638645434E-02
-4.0371E-02,3.0343424067E-02
-4.0366E-02,2.7821918767E-02
-4.0361E-02,2.8145366941E-02
-4.0356E-02,2.8350387841E-02
-4.0351E-02,2.9853626486E-02
-4.0346E-02,2.8749042770E-02
-4.0341E-02,2.6399704291E-02
-4.0336E-02,2.7896801273E-02
-4.0330E-02,3.0032888643E-02
-4.0325E-02,2.9659601450E-02
-4.0320E-02,2.9124857199E-02
-4.0315E-02,2.9519249204E-02
-4.0310E-02,2.8309322626E-02
-4.0305E-02,2.8440309790E-02
-4.0300E-02,2.8029257096E-02
-4.0295E-02,2.8902689236E-02
-4.0290E-02,3.0550504903E-02
-4.0284E-02,2.7748333259E-02
-4.0279E-02,2.9410549408E-02
-4.0274E-02,2.6515861820E-02
-4.0269E-02,2.9356170900E-02
-4.0264E-02,2.8209148678E-02
-4.0259E-02,2.8609415316E-02
-4.0254E-02,2.8185831342E-02
-4.0249E-02,2.7357469849E-02
-4.0243E-02,2.7753502173E-02
-4.0238E-02,2.7803827566E-02
-4.0233E-02,3.0373426660E-02
-4.0228E-02,2.7909408847E-02
-4.0223E-02,2.7720848365E-02
-4.0218E-02,2.8700491212E-02
-4.0213E-02,3.0503517371E-02
-4.0208E-02,3.0147272338E-02
-4.0202E-02,2.8996816889E-02
-4.0197E-02,3.1138216224E-02
-4.0192E-02,3.0881859037E-02
-4.0187E-02,2.9128538382E-02
-4.0182E-02,2.9064747109E-02
-4.0177E-02,2.8195539746E-02
-4.0172E-02,2.9030700936E-02
-4.0167E-02,2.9526239637E-02
-4.0162E-02,3.0162655104E-02
-4.0156E-02,3.1712747767E-02
-4.0151E-02,2.9984327548E-02
-4.0146E-02,2.9332481630E-02
-4.0141E-02,2.9987150424E-02
-4.0136E-02,3.1573349195E-02
-4.0131E-02,2.8304420740E-02
-4.0126E-02,2.8884645718E-02
-4.0121E-02,2.7979427614E-02
-4.0115E-02,3.0317760691E-02
-4.0110E-02,2.8516365315E-02
-4.0105E-02,3.0002475970E-02
-4.0100E-02,3.0343118891E-02
-4.0095E-02,2.9271446475E-02
-4.0090E-02,2.9587513210E-02
-4.0085E-02,2.9140497458E-02
-4.0080E-02,2.9532963041E-02
-4.0074E-02,2.7844578069E-02
-4.0069E-02,2.9330154665E-02
-4.0064E-02,3.0655895450E-02
-4.0059E-02,3.0383201822E-02
-4.0054E-02,2.9238230000E-02
-4.0049E-02,3.0353771433E-02
-4.0044E-02,2.8750463745E-02
-4.0039E-02,2.9590822460E-02
-4.0034E-02,3.1128421989E-02
-4.0028E-02,3.1283985340E-02
-4.0023E-02,2.9266563663E-02
-4.0018E-02,2.9060283913E-02
-4.0013E-02,3.0392729028E-02
-4.0008E-02,2.9626051189E-02
-4.0003E-02,2.9209324132E-02
-3.9998E-02,3.1620498852E-02
-3.9993E-02,3.1459957321E-02
-3.9987E-02,3.1389137468E-02
-3.9982E-02,3.0851942274E-02
-3.9977E-02,2.9753099678E-02
-3.9972E-02,3.2635132008E-02
-3.9967E-02,3.0072818986E-02
-3.9962E-02,3.2262693586E-02
-3.9957E-02,3.1133180824E-02
-3.9952E-02,2.9512058500E-02
-3.9946E-02,3.1884285162E-02
-3.9941E-02,3.0428043587E-02
-3.9936E-02,2.9827209708E-02
-3.9931E-02,2.9285274753E-02
-3.9926E-02,2.9987674944E-02
-3.9921E-02,3.0792432998E-02
